City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,margate,51.3813,1.3862,54.88,94,100,8.99,GB,1710262471
83,callao,-12.0667,-77.15,79.09,65,0,6.91,PE,1710262570
84,kish,26.5578,54.0194,71.87,64,2,13.8,IR,1710262558
85,newman,37.3138,-121.0208,54.25,87,96,5.01,US,1710262535
86,ilulissat,69.2167,-51.1,7.07,90,100,4.21,GL,1710262570
87,mazamari,-11.3258,-74.5308,91.53,52,48,1.92,PE,1710262486
88,iqaluit,63.7506,-68.5145,-11.47,77,20,0.0,CA,1710262336
89,gadzhiyevo,69.2551,33.3362,23.16,88,100,17.85,RU,1710262571
90,mar del plata,-38.0023,-57.5575,70.09,93,100,24.0,AR,1710262411
91,taltal,-25.4,-70.4833,73.04,67,2,9.17,CL,1710262483
92,avarua,-21.2078,-159.775,78.85,83,75,10.36,CK,1710262571
93,merritt island,28.5392,-80.672,77.09,57,40,8.05,US,1710262571
94,yuzhno-kurilsk,44.0306,145.8556,31.37,65,100,11.21,RU,1710262571
95,beinamar,8.6698,15.3813,99.82,9,81,5.03,TD,1710262571
96,enewetak,11.3474,162.3373,79.65,78,100,24.05,MH,1710262571
97,santa ana de yacuma,-13.75,-65.4333,93.15,62,40,6.91,BO,1710262554
98,el calafate,-50.3408,-72.2768,49.98,48,84,5.75,AR,1710262571
99,hermanus,-34.4187,19.2345,70.81,80,26,7.05,ZA,1710262571
100,aleg,17.0481,-13.9209,97.47,6,80,12.57,MR,1710262572
101,edinburgh of the seven seas,-37.0676,-12.3116,61.14,66,100,10.18,SH,1710262572
102,anta,25.15,76.3,77.65,23,0,4.63,IN,1710262572
103,weno,7.4515,151.8468,81.99,69,98,13.15,FM,1710262572
104,bafra,41.5678,35.9069,55.22,59,47,10.4,TR,1710262572
105,morbi,22.8167,70.8333,75.16,46,5,13.51,IN,1710262572
106,pangai,-19.8,-174.35,80.08,84,100,6.4,TO,1710262572
107,phayakkhaphum phisai,15.5163,103.1937,84.56,54,19,7.72,TH,1710262572
108,dubai,25.2582,55.3047,75.13,46,0,11.5,AE,1710262401
109,jindabyne,-36.4167,148.6333,65.57,63,100,2.35,AU,1710262572
110,talnakh,69.4865,88.3972,-9.8,98,100,13.22,RU,1710262378
111,visakhapatnam,17.69,83.2093,80.08,77,10,13.06,IN,1710262328
112,bambanglipuro,-7.95,110.2833,77.65,88,99,4.47,ID,1710262573
113,princeville,45.7668,-61.2985,38.79,95,100,12.66,CA,1710262573
114,hawaiian paradise park,19.5933,-154.9731,70.03,94,100,9.19,US,1710262573
115,berezovyy,51.6667,135.7,1.98,92,11,4.32,RU,1710262481
116,sitka,57.0531,-135.33,36.77,88,100,7.67,US,1710262573
117,whakatane,-37.9585,176.9854,62.51,99,90,6.42,NZ,1710262573
118,sosnovo-ozerskoye,52.5249,111.5418,16.93,97,92,5.35,RU,1710262573
119,obock,12.25,43.0833,73.49,75,31,9.42,DJ,1710262574
120,bielsk podlaski,52.7651,23.1865,39.04,97,100,9.35,PL,1710262574
121,caconda,-13.7333,15.0667,65.05,88,100,4.43,AO,1710262574
122,east london,-33.0153,27.9116,76.14,78,75,16.11,ZA,1710262574
123,coari,-4.085,-63.1414,93.9,49,88,4.47,BR,1710262470
124,dryden,49.7833,-92.7503,41.29,65,20,11.5,CA,1710262574
125,longyearbyen,78.2186,15.6401,10.24,72,75,12.66,SJ,1710262574
126,mount darwin,-16.7725,31.5838,77.09,69,100,6.22,ZW,1710262574
127,greymouth,-42.4667,171.2,56.86,95,100,7.29,NZ,1710262574
128,bismarck,46.8083,-100.7837,49.86,65,40,5.75,US,1710262575
129,pisco,-13.7,-76.2167,82.45,57,0,16.11,PE,1710262455
130,el porvenir,13.7617,-87.3458,85.33,21,11,4.99,HN,1710262575
131,ciudad lazaro cardenas,17.9583,-102.2,86.0,38,4,5.95,MX,1710262555
132,atafu village,-8.5421,-172.5159,85.23,74,68,11.86,TK,1710262470
133,grand gaube,-20.0064,57.6608,81.0,85,60,5.01,MU,1710262575
134,lazaro cardenas,17.9583,-102.2,86.0,38,4,5.95,MX,1710262503
135,shalqar,47.8333,59.6,20.73,69,70,18.14,KZ,1710262575
136,fortuna,40.5982,-124.1573,51.66,93,75,3.0,US,1710262576
137,isangel,-19.55,169.2667,79.66,93,100,10.0,VU,1710262576
138,lindsdal,56.7333,16.3,36.86,98,100,5.75,SE,1710262576
139,mogocha,53.7333,119.7667,6.69,95,21,3.47,RU,1710262576
140,kavaratti,10.5669,72.642,82.74,71,13,9.62,IN,1710262576
141,korem,12.5058,39.5228,60.48,77,98,6.58,ET,1710262576
142,vizinga,61.0749,50.1031,15.3,98,100,2.82,RU,1710262576
143,nuuk,64.1835,-51.7216,25.88,86,100,10.0,GL,1710262449
144,bontang,0.1333,117.5,79.36,87,100,11.12,ID,1710262576
145,haiku-pauwela,20.9219,-156.3051,72.05,82,47,5.99,US,1710262542
146,harper,4.375,-7.7169,85.6,74,93,8.05,LR,1710262576
147,tazacorte,28.629,-17.9293,70.77,76,20,7.0,ES,1710262520
148,tolanaro,-25.0319,46.9987,82.47,83,40,16.11,MG,1710262449
149,susuman,62.7833,148.1667,-22.02,100,100,1.01,RU,1710262577
150,haifa,32.8156,34.9892,66.16,70,0,10.38,IL,1710262365
151,laojunmiao,39.8333,97.7333,34.27,37,1,6.87,CN,1710262577
152,kone,-21.0595,164.8658,77.22,92,92,3.83,NC,1710262577
153,kapuskasing,49.4169,-82.4331,37.49,52,40,2.3,CA,1710262577
154,zemio,5.0314,25.1361,88.12,36,97,3.38,CF,1710262577
155,tondano,1.3038,124.9112,69.89,91,86,3.22,ID,1710262577
156,grand falls-windsor,48.9332,-55.6649,33.51,94,100,5.01,CA,1710262540
157,tofol,5.3248,163.0078,81.97,84,100,24.18,FM,1710262578
158,ayr,55.4627,-4.6339,49.98,87,75,8.05,GB,1710262578
159,fayzabad,37.1166,70.58,47.89,88,100,3.51,AF,1710262578
160,inari,68.906,27.0288,25.0,84,100,9.33,FI,1710262578
161,puerto baquerizo moreno,-0.9,-89.6,83.39,84,75,4.61,EC,1710262566
162,anaconda,46.1285,-112.9423,38.08,65,78,6.42,US,1710262538
163,walvis bay,-22.9575,14.5053,72.55,68,0,9.22,NA,1710262578
164,ulanhot,46.0833,122.0833,27.37,64,2,9.64,CN,1710262578
165,acarau,-2.8856,-40.12,84.78,73,67,9.89,BR,1710262542
166,alta,69.9689,23.2717,24.19,76,75,11.5,NO,1710262578
167,pacific grove,36.6177,-121.9166,56.64,85,100,6.91,US,1710262579
168,waiuku,-37.25,174.75,67.24,95,100,4.99,NZ,1710262579
169,usoke,-5.1667,32.35,74.21,70,27,3.29,TZ,1710262579
170,rongelap,11.1635,166.8941,79.39,78,100,24.94,MH,1710262539
171,anadyr,64.75,177.4833,-14.3,84,20,6.71,RU,1710262477
172,rostovka,55.3842,71.8891,-1.8,100,62,5.39,RU,1710262579
173,pitimbu,-7.4706,-34.8086,88.39,66,95,10.0,BR,1710262579
174,tazovsky,67.4667,78.7,-8.28,92,88,16.06,RU,1710262549
175,fale old settlement,-9.3852,-171.2468,84.76,74,44,11.7,TK,1710262579
176,colonia,50.9333,6.95,51.58,73,0,4.61,DE,1710262493
177,pangkalanbuun,-2.6833,111.6167,74.84,99,100,2.15,ID,1710262580
178,itoman,26.1247,127.6694,62.62,55,40,24.16,JP,1710262580
179,novyy urengoy,66.0833,76.6333,-11.51,97,29,11.43,RU,1710262580
180,kailua-kona,19.6406,-155.9956,73.6,80,0,3.44,US,1710262310
181,sarmiento,-45.5882,-69.07,64.63,27,20,33.91,AR,1710262580
182,la'ie,21.6477,-157.9253,76.96,85,47,8.01,US,1710262580
183,trairi,-3.2778,-39.2689,86.77,67,51,7.54,BR,1710262580
184,karratha,-20.7377,116.8463,81.52,67,27,9.86,AU,1710262580
185,mora,11.0461,14.1401,98.46,8,81,8.99,CM,1710262580
186,acapulco de juarez,16.8634,-99.8901,85.48,49,0,6.62,MX,1710262498
187,naze,28.3667,129.4833,56.32,51,3,23.4,JP,1710262581
188,portland,45.5234,-122.6762,49.08,90,92,5.99,US,1710262581
189,revda,56.801,59.9303,3.2,98,96,2.68,RU,1710262456
190,awjilah,29.1081,21.2869,76.48,16,46,9.84,LY,1710262559
191,anupgarh,29.1911,73.2086,74.07,22,0,6.29,IN,1710262581
192,dalandzadgad,43.5708,104.425,33.85,40,2,4.21,MN,1710262581
193,elko,41.0002,-115.5012,39.06,91,100,7.0,US,1710262490
194,sault ste. marie,46.5168,-84.3333,40.82,70,100,10.36,CA,1710262581
195,bridgewater,44.3835,-64.5155,38.82,80,97,21.85,CA,1710262581
196,isafjordur,66.0755,-23.124,33.84,86,100,18.41,IS,1710262445
197,alpena,45.0617,-83.4327,53.85,79,94,5.01,US,1710262581
198,kamenica,50.8333,12.9167,49.71,77,98,1.01,DE,1710262285
199,grants,35.1473,-107.8514,48.43,37,0,6.91,US,1710262582
200,caleta de carquin,-11.0925,-77.6267,77.85,75,97,9.28,PE,1710262550
201,manggar,-2.8833,108.2667,80.67,80,100,12.97,ID,1710262582
202,hithadhoo,-0.6,73.0833,83.8,64,69,4.21,MV,1710262467
203,balan,46.6505,25.8083,35.4,99,100,1.74,RO,1710262582
204,fethiye,36.6217,29.1164,60.67,72,5,5.48,TR,1710262582
205,norman gardens,-23.3224,150.5393,72.12,73,40,8.05,AU,1710262582
206,belmonte,-15.8631,-38.8828,83.35,73,97,5.26,BR,1710262582
207,deniliquin,-35.5333,144.9667,72.36,52,84,5.59,AU,1710262582
208,sao joao da barra,-21.6403,-41.0511,82.49,75,56,12.12,BR,1710262583
209,salahonda,2.1019,-78.7217,81.86,81,20,10.56,CO,1710262583
210,aasiaat,68.7098,-52.8699,6.69,88,100,2.66,GL,1710262583
211,bel ombre,-4.6167,55.4167,78.64,89,75,14.97,SC,1710262583
212,wailua homesteads,22.0669,-159.378,71.74,86,75,10.36,US,1710262458
213,polyarnyy,69.1989,33.4478,24.19,88,100,17.31,RU,1710262583
214,saint-joseph,-21.3667,55.6167,79.18,79,29,14.09,RE,1710262583
215,aswan,24.0934,32.907,84.36,11,28,11.81,EG,1710262422
216,afaahiti,-17.75,-149.2833,78.67,83,100,11.61,PF,1710262583
217,kembe,4.6228,21.8865,89.78,32,77,1.07,CF,1710262583
218,kuta,-8.7233,115.1723,82.35,88,20,1.14,ID,1710262536
219,muisne,0.6,-80.0333,83.08,74,68,9.35,EC,1710262584
220,serang,-6.1149,106.1502,77.5,89,100,5.23,ID,1710262584
221,robore,-18.3333,-59.75,93.29,52,40,11.5,BO,1710262584
222,kavieng,-2.5744,150.7967,80.17,83,100,6.55,PG,1710262584
223,kafir qala,34.6667,61.0667,41.47,87,100,16.15,AF,1710262584
224,keflavik,64.0049,-22.5624,42.71,87,75,11.5,IS,1710262584
225,axim,4.8699,-2.2405,84.96,76,90,11.59,GH,1710262538
226,malango,-2.9627,119.9001,70.02,98,100,1.59,ID,1710262584
227,santa isabel,-23.3156,-46.2214,83.16,57,26,3.49,BR,1710262585
228,howrah,22.5892,88.3103,80.6,89,0,11.5,IN,1710262585
229,el monte,34.0686,-118.0276,61.48,71,40,0.0,US,1710262585
230,badger,64.8,-147.5333,-12.75,73,40,0.0,US,1710262453
231,mirnyy,62.5353,113.9611,-10.75,100,86,2.44,RU,1710262585
232,mirzapur,25.15,82.5833,71.56,27,0,4.27,IN,1710262585
233,bereznik,62.8551,42.7072,28.04,94,100,6.96,RU,1710262558
234,college,64.8569,-147.8028,-15.93,42,100,2.84,US,1710262585
235,nar'yan-mar,67.6713,53.087,27.68,94,100,24.16,RU,1710262452
236,mandalgovi,45.7625,106.2708,24.49,74,6,9.06,MN,1710262586
237,flying fish cove,-10.4217,105.6791,78.48,88,100,12.66,CX,1710262536
238,sinop,41.7711,34.8709,53.51,51,60,7.36,TR,1710262535
239,punta arenas,-53.15,-70.9167,51.91,54,75,12.66,CL,1710262462
240,sao vicente,-23.9631,-46.3919,87.98,60,75,8.05,BR,1710262338
241,carutapera,-1.195,-46.02,86.27,68,67,8.81,BR,1710262586
242,alvarado,18.7667,-95.7667,76.87,77,90,4.03,MX,1710262586
243,abepura,-2.6333,140.5833,76.01,100,20,1.14,ID,1710262586
244,qaisumah,28.3112,46.1273,67.96,26,0,8.05,SA,1710262586
245,chonchi,-42.6128,-73.8092,58.12,58,58,7.2,CL,1710262586
246,abrego,8.0807,-73.2205,81.09,55,65,5.5,CO,1710262518
247,marka,1.7159,44.7717,81.93,70,2,14.07,SO,1710262587
248,shortandy,51.7006,70.9994,-2.18,100,54,3.04,KZ,1710262587
249,st. john's,47.5649,-52.7093,40.39,89,75,13.8,CA,1710262587
250,san ignacio,17.1561,-89.0714,87.94,58,20,6.91,BZ,1710262587
251,adra,36.7496,-3.0206,61.02,59,0,4.05,ES,1710262587
252,hanceville,34.0607,-86.7675,69.17,45,28,5.03,US,1710262587
253,satana,20.5833,74.2,76.69,38,0,7.31,IN,1710262587
254,utrik,11.2278,169.8474,78.98,79,100,25.1,MH,1710262587
255,puerto deseado,-47.7503,-65.8938,61.57,41,0,16.08,AR,1710262587
256,codrington,-38.2667,141.9667,60.67,73,100,11.61,AU,1710262476
257,lerwick,60.1545,-1.1494,44.6,94,100,18.59,GB,1710262588
258,kerikeri,-35.2268,173.9474,64.9,90,91,3.38,NZ,1710262543
259,vorgashor,67.5833,63.95,7.2,94,100,24.7,RU,1710262588
260,longquan,24.6719,102.1613,56.44,48,6,4.88,CN,1710262538
261,minas de marcona,-15.2119,-75.1103,71.64,68,57,15.37,PE,1710262311
262,bikenibeu village,1.3673,173.1241,80.56,89,40,8.05,KI,1710262550
263,constantia,44.1833,28.65,48.88,96,100,13.6,RO,1710262540
264,thompson,55.7435,-97.8558,19.56,86,100,9.22,CA,1710262588
265,bayanhongor,46.7167,100.1167,-0.53,84,12,4.43,MN,1710262588
266,soio,-6.1349,12.3689,84.16,77,90,10.16,AO,1710262588
267,viqueque,-8.8673,126.3658,77.47,91,100,3.6,TL,1710262588
268,manhattan,40.7834,-73.9662,62.29,39,0,10.0,US,1710262374
269,smithers,54.7804,-127.1743,30.52,100,75,2.3,CA,1710262589
270,port elizabeth,-33.918,25.5701,74.1,87,100,20.71,ZA,1710262589
271,geraldton,-28.7667,114.6,72.01,88,0,11.5,AU,1710262589
272,kruisfontein,-34.0033,24.7314,71.89,77,24,16.11,ZA,1710262554
273,alaghsas,17.0187,8.0168,102.09,6,0,10.36,NE,1710262589
274,frontera,26.9333,-101.45,75.33,43,100,3.0,MX,1710262589
